index;list_len
0;1
1;0
2;1
3;0
4;1
5;0
6;0
7;1
8;2
9;2
10;3
11;0
12;0
13;2
14;0
15;0
16;0
17;0
18;1
19;1
20;0
21;2
22;1
23;0
24;0
25;0
26;0
27;2
28;2
29;2
30;0
31;0
32;0
33;0
34;0
35;0
36;2
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;2
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;0
56;0
57;1
58;0
59;0
60;0
61;0
62;1
63;1
64;0
65;2
66;2
67;2
68;4
69;2
70;0
71;2
72;2
73;2
74;0
75;0
76;2
77;2
78;1
79;2
80;2
81;0
82;2
83;4
84;4
85;2
86;2
87;1
88;2
89;3
90;0
91;1
92;3
93;0
94;2
95;0
96;1
97;2
98;2
99;2
100;2
101;2
102;0
103;0
104;0
105;3
106;2
107;0
108;2
109;2
110;2
111;2
112;0
113;0
114;2
115;2
116;2
117;0
118;1
119;3
120;2
121;3
122;0
123;1
124;1
125;3
126;0
127;1
128;0
129;0
130;1
131;1
132;0
133;4
134;0
135;4
136;0
137;4
138;0
139;0
140;0
141;2
142;1
143;4
144;0
145;2
146;2
147;0
148;2
149;6
150;2
151;1
152;1
153;0
154;0
155;2
156;2
157;4
158;0
159;4
160;0
161;6
162;2
163;4
164;2
165;2
166;0
167;3
168;2
169;6
170;0
171;1
172;0
173;6
174;5
175;6
176;0
177;2
178;4
179;6
180;3
181;9
182;3
183;8
184;0
185;4
186;2
187;7
188;9
189;7
190;2
191;1
192;0
193;2
194;2
195;3
196;0
197;4
198;3
199;8
200;6
201;9
202;2
203;3
204;0
205;4
206;6
207;6
208;3
209;6
210;8
211;8
212;5
213;11
214;7
215;11
216;10
217;9
218;4
219;8
220;7
221;9
222;5
223;4
224;7
225;9
226;4
227;4
228;1
229;6
230;8
231;9
232;8
233;5
234;8
235;4
236;2
237;4
238;3
239;1
240;4
241;2
242;2
243;0
244;2
245;0
246;0
247;1
248;2
249;0
250;2
251;0
252;0
253;2
254;0
255;0
256;0
257;0
258;0
259;0
260;0
261;0
262;0
263;2
264;0
265;2
266;2
267;2
268;0
269;5
270;3
271;7
272;5
273;7
274;7
275;9
276;8
277;13
278;11
279;8
280;7
281;17
282;14
283;12
284;14
285;11
286;11
287;13
288;29
289;10
290;11
291;14
292;24
293;11
294;12
295;23
296;11
297;25
298;27
299;28
300;11
301;17
302;19
303;22
304;28
305;25
306;27
307;14
308;28
309;24
310;25
311;27
312;34
313;29
314;34
315;18
316;28
317;34
318;33
319;24
320;31
321;24
322;24
323;25
324;28
325;28
326;20
327;34
328;23
329;23
330;34
331;27
332;17
333;18
334;17
335;15
336;18
337;12
338;12
339;12
340;11
341;20
342;10
343;9
344;13
345;7
346;6
347;5
348;6
349;11
350;6
351;4
352;4
353;0
354;1
355;1
356;4
357;0
358;0
359;2
360;3
361;7
362;2
363;2
364;3
365;9
366;5
367;3
368;6
369;17
370;7
371;5
372;9
373;12
374;11
375;18
376;11
377;22
378;20
379;22
380;27
381;16
382;30
383;34
384;35
385;19
386;28
387;22
388;32
389;36
390;27
391;25
392;42
393;35
394;40
395;41
396;26
397;30
398;35
399;45
400;35
401;42
402;41
403;34
404;44
405;29
406;40
407;29
408;55
409;38
410;48
411;32
412;53
413;41
414;54
415;55
416;62
417;55
418;56
419;53
420;62
421;52
422;67
423;49
424;70
425;63
426;78
427;59
428;71
429;50
430;63
431;81
432;65
433;72
434;71
435;60
436;57
437;54
438;65
439;50
440;74
441;55
442;58
443;55
444;65
445;45
446;42
447;39
448;36
449;27
450;40
451;38
452;31
453;38
454;33
455;6
456;31
457;22
458;27
459;16
460;19
461;14
462;6
463;15
464;3
465;7
466;5
467;5
468;9
469;7
470;5
471;3
472;7
473;8
474;11
475;15
476;10
477;11
478;15
479;9
480;14
481;4
482;9
483;18
484;16
485;22
486;15
487;20
488;12
489;20
490;21
491;15
492;22
493;24
494;15
495;27
496;35
497;40
498;37
499;42
500;44
501;36
502;33
503;35
504;45
505;44
506;30
507;40
508;39
509;54
510;54
511;49
512;44
513;55
514;51
515;65
516;68
517;71
518;62
519;56
520;74
521;56
522;70
523;73
524;70
525;83
526;69
527;77
528;73
529;95
530;94
531;85
532;104
533;71
534;78
535;94
536;90
537;106
538;94
539;84
540;85
541;88
542;90
543;92
544;76
545;87
546;80
547;78
548;75
549;69
550;62
551;60
552;76
553;64
554;65
555;64
556;54
557;53
558;53
559;49
560;38
561;44
562;31
563;22
564;24
565;18
566;24
567;13
568;19
569;24
570;9
571;13
572;11
573;15
574;13
575;12
576;9
577;13
578;11
579;6
580;4
581;10
582;8
583;10
584;15
585;20
586;16
587;14
588;18
589;15
590;21
591;22
592;25
593;17
594;26
595;29
596;21
597;26
598;28
599;38
600;43
601;38
602;38
603;38
604;37
605;51
606;37
607;39
608;56
609;48
610;50
611;42
612;45
613;72
614;59
615;72
616;50
617;70
618;77
619;74
620;65
621;69
622;76
623;65
624;65
625;87
626;66
627;84
628;74
629;79
630;73
631;83
632;97
633;89
634;98
635;104
636;84
637;112
638;108
639;90
640;94
641;99
642;108
643;86
644;95
645;80
646;91
647;110
648;86
649;106
650;116
651;97
652;94
653;88
654;76
655;102
656;73
657;100
658;75
659;98
660;87
661;66
662;59
663;68
664;70
665;59
666;40
667;70
668;39
669;45
670;38
671;41
672;36
673;31
674;25
675;30
676;19
677;18
678;27
679;18
680;17
681;10
682;19
683;9
684;16
685;19
686;16
687;12
688;14
689;11
690;16
691;11
692;13
693;16
694;17
695;12
696;12
697;25
698;23
699;26
700;24
701;20
702;25
703;21
704;16
705;29
706;34
707;27
708;22
709;24
710;29
711;41
712;36
713;47
714;48
715;41
716;42
717;40
718;51
719;68
720;55
721;34
722;68
723;46
724;42
725;53
726;60
727;62
728;54
729;65
730;76
731;75
732;82
733;82
734;84
735;86
736;79
737;84
738;75
739;85
740;84
741;95
742;84
743;93
744;101
745;94
746;97
747;76
748;85
749;99
750;103
751;107
752;104
753;83
754;107
755;100
756;102
757;99
758;109
759;83
760;97
761;81
762;89
763;86
764;88
765;93
766;79
767;77
768;73
769;73
770;74
771;65
772;63
773;56
774;52
775;52
776;46
777;49
778;47
779;48
780;36
781;36
782;31
783;30
784;23
785;26
786;23
787;16
788;13
789;22
790;9
791;10
792;8
793;16
794;7
795;3
796;7
797;18
798;12
799;8
800;5
801;9
802;8
803;10
804;4
805;16
806;9
807;11
808;12
809;16
810;13
811;14
812;18
813;15
814;25
815;27
816;28
817;25
818;31
819;30
820;22
821;29
822;33
823;44
824;31
825;46
826;32
827;43
828;47
829;39
830;46
831;42
832;37
833;59
834;75
835;60
836;50
837;58
838;50
839;50
840;44
841;62
842;52
843;67
844;59
845;63
846;60
847;85
848;81
849;69
850;79
851;66
852;79
853;76
854;76
855;75
856;87
857;77
858;72
859;84
860;74
861;74
862;79
863;74
864;73
865;70
866;81
867;74
868;59
869;78
870;84
871;63
872;66
873;72
874;67
875;68
876;57
877;59
878;44
879;58
880;44
881;51
882;44
883;43
884;57
885;42
886;32
887;35
888;29
889;26
890;27
891;26
892;25
893;23
894;26
895;24
896;13
897;14
898;19
899;2
900;12
901;9
902;5
903;7
904;10
905;6
906;13
907;15
908;13
909;8
910;5
911;10
912;16
913;9
914;9
915;5
916;11
917;8
918;15
919;13
920;11
921;15
922;12
923;31
924;14
925;21
926;18
927;20
928;19
929;26
930;18
931;22
932;25
933;24
934;21
935;28
936;27
937;24
938;23
939;25
940;22
941;40
942;39
943;53
944;26
945;39
946;47
947;40
948;41
949;46
950;40
951;31
952;32
953;56
954;43
955;51
956;41
957;62
958;49
959;54
960;58
961;58
962;49
963;58
964;56
965;43
966;61
967;54
968;76
969;55
970;45
971;57
972;53
973;57
974;57
975;44
976;34
977;56
978;55
979;50
980;30
981;63
982;40
983;27
984;57
985;55
986;39
987;36
988;42
989;31
990;28
991;32
992;40
993;35
994;25
995;11
996;21
997;27
998;29
999;21
1000;16
1001;26
1002;13
1003;20
1004;11
1005;16
1006;11
1007;14
1008;4
1009;7
1010;7
1011;7
1012;14
1013;5
1014;3
1015;4
1016;11
1017;4
1018;9
1019;5
1020;2
1021;6
1022;3
1023;5
1024;9
1025;5
1026;7
1027;6
1028;5
1029;10
1030;10
1031;7
1032;11
1033;10
1034;9
1035;9
1036;10
1037;7
1038;10
1039;10
1040;11
1041;13
1042;18
1043;6
1044;13
1045;20
1046;20
1047;16
1048;25
1049;18
1050;26
1051;21
1052;19
1053;22
1054;19
1055;30
1056;26
1057;25
1058;28
1059;26
1060;29
1061;27
1062;41
1063;25
1064;36
1065;27
1066;27
1067;30
1068;35
1069;21
1070;29
1071;32
1072;34
1073;31
1074;42
1075;34
1076;34
1077;35
1078;27
1079;39
1080;30
1081;34
1082;41
1083;39
1084;38
1085;27
1086;30
1087;30
1088;34
1089;37
1090;25
1091;27
1092;31
1093;27
1094;28
1095;31
1096;27
1097;25
1098;26
1099;21
1100;21
1101;30
1102;21
1103;18
1104;17
1105;22
1106;18
1107;17
1108;13
1109;10
1110;14
1111;9
1112;4
1113;14
1114;12
1115;7
1116;9
1117;4
1118;6
1119;4
1120;5
1121;8
1122;7
1123;5
1124;6
1125;4
1126;1
1127;5
1128;3
1129;4
1130;4
1131;2
1132;5
1133;5
1134;3
1135;2
1136;5
1137;6
1138;6
1139;4
1140;6
1141;2
1142;6
1143;5
1144;11
1145;2
1146;4
1147;4
1148;6
1149;3
1150;9
1151;6
1152;7
1153;10
1154;10
1155;14
1156;14
1157;11
1158;15
1159;2
1160;11
1161;16
1162;13
1163;16
1164;6
1165;8
1166;10
1167;16
1168;18
1169;15
1170;19
1171;16
1172;12
1173;14
1174;18
1175;17
1176;21
1177;17
1178;18
1179;20
1180;16
1181;21
1182;25
1183;26
1184;20
1185;19
1186;19
1187;16
1188;18
1189;23
1190;19
1191;16
1192;20
1193;22
1194;20
1195;23
1196;17
1197;16
1198;13
1199;14
1200;15
1201;19
1202;19
1203;13
1204;28
1205;7
1206;14
1207;12
1208;12
1209;6
1210;8
1211;21
1212;16
1213;13
1214;14
1215;8
1216;11
1217;7
1218;9
1219;3
1220;6
1221;3
1222;4
1223;1
1224;1
1225;7
1226;3
1227;0
1228;8
1229;3
