index;list_len
0;26
1;19
2;22
3;15
4;25
5;11
6;22
7;19
8;25
9;18
10;25
11;21
12;18
13;19
14;13
15;21
16;25
17;18
18;14
19;13
20;23
21;21
22;17
23;13
24;26
25;10
26;28
27;19
28;22
29;11
30;20
31;16
32;24
33;18
34;17
35;13
36;21
37;14
38;15
39;13
40;28
41;24
42;27
43;15
44;18
45;15
46;25
47;14
48;18
49;22
50;17
51;16
52;23
53;24
54;29
55;13
56;20
57;16
58;26
59;16
60;12
61;14
62;20
63;14
64;24
65;19
66;25
67;22
68;22
69;20
70;18
71;16
72;25
73;11
74;22
75;25
76;21
77;21
78;22
79;10
80;28
81;13
82;13
83;15
84;23
85;27
86;22
87;11
88;24
89;22
90;30
91;28
92;27
93;23
94;16
95;26
96;33
97;24
98;22
99;28
100;19
101;18
102;14
103;15
104;23
105;15
106;26
107;21
108;19
109;15
110;16
111;21
112;22
113;20
114;18
115;24
116;17
117;21
118;15
119;25
120;20
121;17
122;11
123;20
124;12
125;18
126;12
127;22
128;22
129;29
130;26
131;19
132;12
133;15
134;20
135;29
136;20
137;25
138;15
139;33
140;18
141;19
142;24
143;13
144;19
145;20
146;12
147;16
148;12
149;28
150;18
151;27
152;20
153;21
154;19
155;23
156;11
157;23
158;22
159;18
160;18
161;34
162;21
163;23
164;20
165;21
166;23
167;25
168;20
169;34
170;22
171;17
172;25
173;30
174;21
175;22
176;22
177;43
178;25
179;27
180;34
181;18
182;19
183;18
184;20
185;31
186;10
187;23
188;26
189;21
190;19
191;17
192;26
193;32
194;21
195;22
196;21
197;23
198;24
199;20
200;17
201;23
202;21
203;27
204;24
205;19
206;13
207;26
208;19
209;28
210;21
211;21
212;20
213;21
214;16
215;24
216;13
217;26
218;25
219;30
220;17
221;29
222;19
223;15
224;16
225;34
226;24
227;21
228;18
229;21
230;19
231;25
232;21
233;33
234;18
235;14
236;22
237;22
238;15
239;21
240;19
241;33
242;17
243;21
244;20
245;27
246;18
247;16
248;17
249;32
250;14
251;16
252;23
253;20
254;21
255;16
256;26
257;31
258;20
259;30
260;31
261;25
262;23
263;31
264;29
265;24
266;30
267;21
268;23
269;31
270;31
271;38
272;28
273;29
274;28
275;27
276;36
277;23
278;21
279;35
280;17
281;33
282;19
283;32
284;31
285;16
286;21
287;15
288;30
289;38
290;26
291;18
292;31
293;25
294;21
295;21
296;22
297;29
298;14
299;19
300;17
301;30
302;35
303;29
304;22
305;22
306;29
307;20
308;26
309;33
310;16
311;29
312;23
313;28
314;32
315;16
316;18
317;26
318;21
319;19
320;25
321;23
322;18
323;16
324;32
325;22
326;25
327;21
328;23
329;24
330;36
331;20
332;27
333;26
334;25
335;18
336;20
337;19
338;16
339;19
340;28
341;33
342;14
343;12
344;24
345;21
